Designator,Mid X,Mid Y,Rotation,Layer
BATT_CONN1,297.46875,-170.554126,60.0,top
D1,254.793536,-111.025688,90.0,bottom
D10,199.727176,-133.349888,90.0,bottom
D11,178.295944,-134.540512,90.0,bottom
D12,161.627208,-137.814728,90.0,bottom
D13,254.793536,-149.720968,90.0,bottom
D14,237.827144,-152.102216,90.0,bottom
D15,216.395912,-146.446752,90.0,bottom
D16,199.727176,-152.102216,90.0,bottom
D17,178.295944,-153.590496,90.0,bottom
D18,161.627208,-156.864712,90.0,bottom
D19,256.877128,-173.533448,90.0,bottom
D2,237.827144,-114.002248,90.0,bottom
D20,237.827144,-171.1522,90.0,bottom
D21,218.77716,-168.770952,90.0,bottom
D22,199.727176,-171.1522,90.0,bottom
D23,180.677192,-175.914696,90.0,bottom
D24,161.627208,-175.46702,90.0,bottom
D3,216.395912,-108.346784,90.0,bottom
D4,199.727176,-114.002248,90.0,bottom
D5,178.295944,-115.192872,90.0,bottom
D6,161.627208,-118.764744,90.0,bottom
D7,254.793536,-130.075672,90.0,bottom
D8,237.827144,-133.052232,90.0,bottom
D9,216.395912,-127.396768,90.0,bottom
DTC1,264.91384,-190.797496,90.0,bottom
DTC2,244.970888,-190.797496,90.0,bottom
DTC3,225.920904,-190.797496,90.0,bottom
DTC4,223.539656,-190.797496,90.0,bottom
H18,217.742606,-114.406,0.0,bottom
H19,179.542606,-120.006,0.0,bottom
H2,255.742606,-116.206,0.0,bottom
H3,179.608606,-139.141,0.0,bottom
H4,179.608606,-158.201,0.0,bottom
H5,217.748606,-133.251,0.0,bottom
H6,217.748606,-152.361,0.0,bottom
H7,255.788606,-154.501,0.0,bottom
H8,255.788606,-135.431,0.0,bottom
H9,269.208606,-179.611,0.0,bottom
LGO1,285.916606,-156.72,0.0,top
MCU-MAIN1,286.158606,-135.801,0.0,top
PWR1,286.0,-167.5,180.0,bottom
RST1,286.0,-159.5,180.0,bottom
STABL1,282.904482,-187.52645,300.0,bottom
SW1,265.342606,-108.206,0.0,bottom
SW10,208.192606,-124.941,0.0,bottom
SW11,189.142606,-129.64,0.0,bottom
SW12,170.092606,-129.64,0.0,bottom
SW13,265.342606,-146.277,0.0,bottom
SW14,246.292606,-143.925,0.0,bottom
SW15,227.242606,-141.54,0.0,bottom
SW16,208.192606,-143.925,0.0,bottom
SW17,189.142606,-148.69,0.0,bottom
SW18,170.092606,-148.69,0.0,bottom
SW19,265.342606,-165.356,0.0,bottom
SW2,246.292606,-105.825,0.0,bottom
SW20,246.292606,-162.975,0.0,bottom
SW21,227.242606,-160.59,0.0,bottom
SW22,208.192606,-162.975,0.0,bottom
SW23,189.142606,-167.74,0.0,bottom
SW24,170.092606,-167.74,0.0,bottom
SW3,227.242606,-103.44,0.0,bottom
SW4,208.192606,-105.825,0.0,bottom
SW5,189.142606,-110.59,0.0,bottom
SW6,170.092606,-110.59,0.0,bottom
SW7,265.342606,-127.227,0.0,bottom
SW8,246.292606,-124.8902,0.0,bottom
SW9,227.242606,-122.528,0.0,bottom
TC1,282.119606,-186.974,300.0,bottom
TC2,255.892606,-186.974,0.0,bottom
TC3,236.842606,-184.59,0.0,bottom
TC4,217.792606,-184.59,0.0,bottom
